split,role,model,target,n,mae,rmse,r2,spearman_rho,variant
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_gutenberg_pg_19_val_loss,63,3.9546048858684304,3.9689199204819947,-424.90501308353674,0.4237231182795699,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_pile_cc_val_loss,63,4.205048825965469,4.215114510503206,-463.8381287929618,0.0921178955453149,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_ubuntu_irc_val_loss,63,4.908599644371639,4.9323095481370425,-368.85741124712195,0.3982622679610421,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_hackernews_val_loss,63,3.956381747460181,3.969875666643521,-604.8455999042159,0.1068068356374808,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_pubmed_abstracts_val_loss,63,4.018827859519265,4.039665122360006,-440.4371286128953,0.22441436251920122,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_uspto_backgrounds_val_loss,63,3.7997194501971188,3.816255511181642,-370.24347227395333,0.3829296979237108,raw
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_arxiv_val_loss,63,3.6758273983154752,3.726975162008753,-241.61298982652596,0.6316724270353302,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_freelaw_val_loss,63,3.783163400900027,3.823840079769436,-214.95519175930895,0.6632104454685099,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_pubmed_central_val_loss,63,3.8063575072390408,3.84021588207786,-352.7061000955835,0.5943260368663594,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_wikipedia_en_val_loss,63,4.2832022610152,4.29812032955071,-424.7719264339771,0.337173579109063,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_dm_mathematics_val_loss,63,3.019679275136282,3.0913373516405236,-90.51119125844598,0.5799731182795699,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_github_val_loss,63,4.013804114737925,4.05520206278358,-348.6099242397495,0.5090725806451613,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_stackexchange_val_loss,63,3.937296112133547,3.9598106998337674,-650.2264408503136,0.4158076014076474,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_gutenberg_pg_19_val_loss,63,3.9507198972248707,3.964851738060485,-424.0323468037185,0.42564324116743474,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_pile_cc_val_loss,63,4.204813122380985,4.214878907248381,-463.78616611668923,0.09293394777265745,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_ubuntu_irc_val_loss,63,4.911337113974523,4.93617701838213,-369.4376559859848,0.3971581840505854,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_hackernews_val_loss,63,3.9548634278098183,3.968354221030507,-604.3813110568461,0.10911098310291859,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_pubmed_abstracts_val_loss,63,4.015265757979375,4.035951131707167,-439.6258040795668,0.22239823348694315,closed
estimate_70b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_uspto_backgrounds_val_loss,63,3.7987449661991253,3.81526467626021,-370.05072142520225,0.37529702624640476,closed
estimate_70b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_arxiv_val_loss,63,3.694286563466136,3.7529035393774013,-245.00042464322155,0.7264304915514593,closed
