replicate,sampled_cluster_sequence,E,A,alpha,B,beta,sse
61,EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-1.4b;EleutherAI/pythia-12b;EleutherAI/pythia-160m;EleutherAI/pythia-1b,1.6898627771157595,0.353875375771795,0.3400835117725729,1.240358376590526,0.2798710330017767,2.4657416840747125e-05
62,EleutherAI/pythia-1b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-1.4b;EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b,1.6899216295286412,0.3539391672832833,0.34000388250598557,1.2401608462002214,0.2799151650314851,2.8607704885672213e-05
63,EleutherAI/pythia-1b;EleutherAI/pythia-70m;EleutherAI/pythia-160m;EleutherAI/pythia-410m;EleutherAI/pythia-70m;EleutherAI/pythia-1.4b;EleutherAI/pythia-6.9b;EleutherAI/pythia-160m,1.6897651654572272,0.35405726884485617,0.33992582772131474,1.240265227653525,0.2798997654273584,3.2523703343410044e-05
64,EleutherAI/pythia-160m;EleutherAI/pythia-2.8b;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b;EleutherAI/pythia-2.8b;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-70m,1.689728749008311,0.35408013123208554,0.33990066702983174,1.2402804154101312,0.27987880345882316,2.3122871633502598e-05
65,EleutherAI/pythia-2.8b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1b;EleutherAI/pythia-1b;EleutherAI/pythia-160m;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-1.4b,1.6898485388785318,0.353841467025266,0.34010490914276015,1.2403484468869752,0.27983402132871094,2.279481296619508e-05
66,EleutherAI/pythia-12b;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-1.4b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1b,1.6898880890820118,0.35391525368657367,0.3400185036796796,1.2402189293853094,0.2798866364798273,2.6948687882670164e-05
67,EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-410m;EleutherAI/pythia-1.4b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1.4b;EleutherAI/pythia-12b;EleutherAI/pythia-70m,1.689861715392111,0.3539533856766185,0.3399927679359354,1.2402798304289675,0.27990334876430717,2.332719726218133e-05
68,EleutherAI/pythia-2.8b;EleutherAI/pythia-70m;EleutherAI/pythia-12b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-1b;EleutherAI/pythia-2.8b;EleutherAI/pythia-410m,1.6898093047757163,0.3539236084494219,0.34001106844320667,1.2403133593997722,0.2798532433009104,2.2747955704408377e-05
69,EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-410m,1.6898079830325645,0.35401636318487023,0.3399507444474761,1.2402401456374579,0.2798960689766546,2.9784605212807985e-05
70,EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1.4b;EleutherAI/pythia-410m;EleutherAI/pythia-12b;EleutherAI/pythia-160m;EleutherAI/pythia-6.9b,1.6898484202290671,0.3538987169881016,0.34006181783872513,1.2403331237996735,0.2798683883392686,2.1676735274604003e-05
