replicate,rmse,mae,r2
432,0.00012183330877217577,8.941588486925657e-05,0.999999813366992
433,0.00016484353259224181,0.00012046694669058355,0.9999997727346163
434,0.00014751057451164204,0.00010416189213073003,0.9999997726165466
435,0.00015314067507080775,0.00011288405609363595,0.9999997729235536
436,0.00012452617764929737,8.96874958098388e-05,0.999999819705351
437,0.0001277676299331978,8.92508410107802e-05,0.999999818259307
438,0.0001369487311927006,9.393431321250919e-05,0.9999997480105002
439,0.00013737596067891835,9.737307398613581e-05,0.9999998299670021
440,0.00013999974264645337,9.755013901043687e-05,0.9999998192278793
441,0.00016456192723420562,0.00011939218420584947,0.999999791041614
442,0.00013997352107620104,9.835639411119656e-05,0.9999998275541867
443,0.00014791190346660817,0.0001021962008351191,0.9999997885165512
444,0.00016241625998643442,0.00011476761919597315,0.9999998205767943
445,0.00014034082059305518,9.943767797859392e-05,0.9999997766122537
446,0.00012392654811517394,8.819497623027071e-05,0.9999997917152554
447,0.000158106413748976,0.00011262446631887839,0.9999997901510189
448,0.00015234799365086924,0.00010861577573445903,0.9999997924320165
449,0.0001424914834490812,0.00010380776208212792,0.9999997926605667
450,0.00014943599639535385,0.00010622939679576821,0.9999997855924233
451,0.00015163000884785258,0.0001073338053015232,0.9999998256046128
452,0.0001381271631652851,9.577786682721831e-05,0.9999998307124326
453,0.0001591513465243655,0.00011346379489178463,0.999999788911546
454,0.000172096804106842,0.0001232301933841215,0.9999998125186698
455,0.00015991831999054092,0.00011452054350728645,0.9999997781593793
456,0.00017983458268170874,0.00013009844424834472,0.9999997941089122
457,0.00015391947498708862,0.00011124157597657786,0.9999997917192532
458,0.00017274232627639258,0.00012686201621369374,0.9999997590817697
459,0.0001537504201763344,0.00010643011323697247,0.9999997579597063
460,0.0001434375825071839,0.00010182405691728473,0.9999997909274165
461,0.00019008782582292426,0.00013910384376047478,0.9999997214014601
462,0.00015656357733653773,0.00011419440178048776,0.9999997668136544
463,0.00014983577343211706,0.00010877993575794305,0.9999998006239731
464,0.0001483020662410631,0.00010661916556879881,0.9999998130561578
465,0.00017912070568530848,0.00013021624502434633,0.9999997351264722
466,0.0001456184523705026,0.00010361906680674834,0.9999998236902845
467,0.00015115009826902526,0.00010530244024642685,0.9999997772358856
468,0.0001655976804779735,0.00012135226782945526,0.9999997507045608
469,0.00013836538700062525,9.702242688310737e-05,0.9999998248380585
470,0.00014644802053714973,0.00010536606729265876,0.999999799722655
471,0.0001484105206476056,0.00010657189261065823,0.9999998070153723
472,0.00013870702328556167,9.207042566125533e-05,0.9999997803361412
473,0.00013257566139249972,9.458965882126832e-05,0.9999997693433884
474,0.0001498498020480756,0.00010438623011317168,0.9999997709989268
475,0.00015167529436917234,0.00010932276108192475,0.9999997424622704
476,0.00013012000713427031,9.460512907436728e-05,0.9999998195357688
477,0.00015246249617989257,0.00011190255913300792,0.9999997612731741
478,0.00012920464243651488,9.274212535810576e-05,0.9999998152224542
479,0.0001366295660718627,9.808005933360153e-05,0.999999791259351
480,0.00017887147123483868,0.0001311239169373505,0.9999996998219558
481,0.00015759451950160685,0.0001118156772270556,0.999999816694158
482,0.0001648290377186828,0.00011806167004766814,0.9999998049037557
483,0.00017935255694207774,0.00013046420454802536,0.9999997556302129
484,0.00014668428531232656,0.00010212093955517511,0.9999998072559597
485,0.00013955132587708686,9.482165118896861e-05,0.9999998280600118
486,0.00015712071514593112,0.00011284443752075402,0.9999998213031249
487,0.00012766401559137033,8.947606282821418e-05,0.9999997808996727
488,0.00015902109664020777,0.00011127721868363993,0.999999820669817
489,0.000137699307026842,9.224312390499037e-05,0.9999998309230953
490,0.0001448095280893795,0.00010086784127903505,0.9999997888209178
491,0.0001626063907312671,0.00011788460502336708,0.9999998074977776
492,0.00016011054452157446,0.00011341525116653912,0.9999997621870959
493,0.00015314372727804416,0.00011065672831001395,0.9999997576425751
494,0.00014728116202463847,0.00010642281590816058,0.9999997914238618
495,0.0001593444962931469,0.0001123585025510373,0.9999997736419036
496,0.0001423531598581823,0.00010233798020880486,0.9999998320081321
497,0.0001394749327881645,9.76906774926835e-05,0.999999808392965
498,0.00016819215505780016,0.00011787678915552677,0.9999998152345475
499,0.00016121195850094132,0.00011590178369351624,0.9999997943458475
500,0.0001408710257971864,9.860688762593869e-05,0.9999998136048788
501,0.00016639899466509186,0.00011953999014124218,0.9999997832935065
502,0.000157343165458473,0.00011525115039598958,0.9999997522388836
503,0.00015341613925010425,0.00010957110753771636,0.9999998186687932
504,0.00014728668853715028,0.00010543861194810748,0.999999812788532
505,0.0001644008942072657,0.00011838015738920818,0.9999997599593475
506,0.00016620055491194395,0.00012081670995861965,0.9999997974721152
507,0.00016945913716447455,0.0001234188886595011,0.9999997775925894
508,0.00014645357848875232,0.00010438186333260566,0.9999998205520864
509,0.00013552075915129993,9.78837096729633e-05,0.999999751493432
510,0.00012873397320107766,9.369707022925052e-05,0.9999997984979829
511,0.000151131197312283,0.00010512449138713345,0.9999998135180922
512,0.00014303326834486237,0.00010547823052098942,0.9999997523824624
513,0.0001447757427979631,0.00010256231819124652,0.9999998297198782
