scenario,candidate,source_domain,all_a1_domain_score,scenario_domain_score,all_a1_rank_1_is_highest_score,scenario_rank_1_is_highest_score,rank_shift,seven_domain_rank_spearman,all_a1_macro_domain_score,scenario_macro_domain_score,macro_delta
unicode_strict_clean_a1,q_huber,wikipedia,0.4787129620836854,0.4786736884716891,5.0,5.0,0.0,1.0,0.49847810484764643,0.4984062063739706,-7.189847367583546e-05
unit_flagged_a1_excluded,q_equal,arxiv,0.5320965357791057,0.5320965357791057,3.0,3.0,0.0,1.0,0.4962230100496153,0.49622321768236766,2.0763275238033785e-07
unit_flagged_a1_excluded,q_equal,book,0.4316026991517443,0.4316026991517443,6.0,6.0,0.0,1.0,0.4962230100496153,0.49622321768236766,2.0763275238033785e-07
unit_flagged_a1_excluded,q_equal,c4,0.5705254959740866,0.5705254959740866,1.0,1.0,0.0,1.0,0.4962230100496153,0.49622321768236766,2.0763275238033785e-07
unit_flagged_a1_excluded,q_equal,commoncrawl,0.5340113140988176,0.5340113140988176,2.0,2.0,0.0,1.0,0.4962230100496153,0.49622321768236766,2.0763275238033785e-07
unit_flagged_a1_excluded,q_equal,github,0.40449680208832284,0.40449680208832284,7.0,7.0,0.0,1.0,0.4962230100496153,0.49622321768236766,2.0763275238033785e-07
unit_flagged_a1_excluded,q_equal,stackexchange,0.5173367560072943,0.5173382094365611,4.0,4.0,0.0,1.0,0.4962230100496153,0.49622321768236766,2.0763275238033785e-07
unit_flagged_a1_excluded,q_equal,wikipedia,0.48349146724793535,0.48349146724793535,5.0,5.0,0.0,1.0,0.4962230100496153,0.49622321768236766,2.0763275238033785e-07
unit_flagged_a1_excluded,q_huber,arxiv,0.5613319908558356,0.5613314984439253,2.0,2.0,0.0,1.0,0.49847810484764643,0.49847814577126187,4.092361544083545e-08
unit_flagged_a1_excluded,q_huber,book,0.42874874466340707,0.4287486192914489,6.0,6.0,0.0,1.0,0.49847810484764643,0.49847814577126187,4.092361544083545e-08
unit_flagged_a1_excluded,q_huber,c4,0.5767322748885473,0.5767321992963854,1.0,1.0,0.0,1.0,0.49847810484764643,0.49847814577126187,4.092361544083545e-08
unit_flagged_a1_excluded,q_huber,commoncrawl,0.5359722946905645,0.5359722377551837,3.0,3.0,0.0,1.0,0.49847810484764643,0.49847814577126187,4.092361544083545e-08
unit_flagged_a1_excluded,q_huber,github,0.3894803356606058,0.38948057332602026,7.0,7.0,0.0,1.0,0.49847810484764643,0.49847814577126187,4.092361544083545e-08
unit_flagged_a1_excluded,q_huber,stackexchange,0.5183681310908792,0.5183688346817856,4.0,4.0,0.0,1.0,0.49847810484764643,0.49847814577126187,4.092361544083545e-08
unit_flagged_a1_excluded,q_huber,wikipedia,0.4787129620836854,0.4787130576040841,5.0,5.0,0.0,1.0,0.49847810484764643,0.49847814577126187,4.092361544083545e-08
weight_alpha_0.25,q_equal,arxiv,0.5320965357791057,0.5320965357791057,3.0,3.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
weight_alpha_0.25,q_equal,book,0.4316026991517443,0.4316026991517443,6.0,6.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
weight_alpha_0.25,q_equal,c4,0.5705254959740866,0.5705254959740866,1.0,1.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
weight_alpha_0.25,q_equal,commoncrawl,0.5340113140988176,0.5340113140988176,2.0,2.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
weight_alpha_0.25,q_equal,github,0.40449680208832284,0.40449680208832284,7.0,7.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
weight_alpha_0.25,q_equal,stackexchange,0.5173367560072943,0.5173367560072943,4.0,4.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
weight_alpha_0.25,q_equal,wikipedia,0.48349146724793535,0.48349146724793535,5.0,5.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
weight_alpha_0.25,q_huber,arxiv,0.5613319908558356,0.5614090891051422,2.0,2.0,0.0,1.0,0.49847810484764643,0.4984977489845078,1.9644136861396433e-05
weight_alpha_0.25,q_huber,book,0.42874874466340707,0.42881162015500784,6.0,6.0,0.0,1.0,0.49847810484764643,0.4984977489845078,1.9644136861396433e-05
