split,role,model,target,n,mae,rmse,r2,spearman_rho,normalized_rmse,mapping_scenario,q_scenario
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_uspto_backgrounds_val_loss,248,1.332534599296996,1.3550174563911723,-8.911267744659543,0.7869238479318869,2.5384928762800274,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,,,,,,,,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_arxiv_val_loss,64,3.071836299925421,3.084730091138572,-863.4553976763955,0.8887820512820512,3.3552549026483356,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_freelaw_val_loss,64,3.3144810505516524,3.3191958820821235,-572.9443533477819,0.73992673992674,4.295252824125838,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_pubmed_central_val_loss,64,3.3102934215690274,3.3284711548254964,-4033.4961380135437,0.8201923076923077,4.050769649121153,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_wikipedia_en_val_loss,64,3.282998713279383,3.2857936150522873,-430.2831434470687,0.8010531135531136,6.259666510125205,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_dm_mathematics_val_loss,64,2.515759125680362,2.566139260036001,-73.51726179995147,0.7080586080586081,1.6932418969957068,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_github_val_loss,64,4.270907803624823,4.27863142725951,-1269.6356950228185,0.7246336996336996,4.566081174630589,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_stackexchange_val_loss,64,3.427759332662739,3.431755421920173,-704.5828332318889,0.7525641025641026,4.9790927671661676,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_gutenberg_pg_19_val_loss,64,2.6489598989118948,2.6550006783196665,-119.3763663661979,0.6375,6.215918643890529,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_pile_cc_val_loss,64,2.6644769646431206,2.666930105672647,-699.495503928154,0.8924908424908425,8.567492352010909,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_ubuntu_irc_val_loss,64,3.987994837884801,4.0408325685771045,-90.33493436827229,0.6692765567765567,4.002659218153318,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_hackernews_val_loss,64,2.2965393968388588,2.302926721229064,-135.8196910283066,0.5600274725274725,6.94992240871441,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_pubmed_abstracts_val_loss,64,3.004221073659817,3.0123574639384127,-708.5209313496646,0.644459706959707,5.13343459358354,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_uspto_backgrounds_val_loss,64,2.877567406365715,2.8806123611919023,-419.5897514595482,0.7483058608058608,5.396545943906167,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,,,,,,,,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_arxiv_val_loss,64,2.729273089456511,2.7503753060990843,-686.2142725481776,0.9467032967032967,2.9915778551976135,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_freelaw_val_loss,64,3.122551112214979,3.1318549140039598,-509.9839874696188,0.8889194139194139,4.0528215694487475,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_pubmed_central_val_loss,64,2.955182984472816,2.9811274351015036,-3235.3895597005644,0.9234432234432235,3.6280502286355754,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_wikipedia_en_val_loss,64,3.1387487972137875,3.14113492853278,-393.144168718333,0.9113095238095238,5.984081600818462,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_dm_mathematics_val_loss,64,2.372422861379254,2.449237111337654,-66.88254379119671,0.6266025641025641,1.6161051573387617,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_github_val_loss,64,4.029044821092458,4.050686965949868,-1137.8556033186787,0.8374542124542125,4.322822803036307,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_stackexchange_val_loss,64,3.244212715261394,3.2546064050917987,-633.6178720360685,0.8221153846153846,4.722069384099076,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_gutenberg_pg_19_val_loss,64,2.574417086574533,2.5794585349498322,-112.62373440328386,0.7038003663003664,6.039058494209065,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_pile_cc_val_loss,64,2.53958105841376,2.5418362510495736,-635.3224161438585,0.9525641025641025,8.165629310873419,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_ubuntu_irc_val_loss,64,3.8764467494686405,3.925087242900837,-85.17748942097862,0.6256868131868132,3.888007327258614,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_hackernews_val_loss,64,2.2138099205646258,2.2205972985021325,-126.2119710168977,0.5553113553113553,6.701463308981939,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_pubmed_abstracts_val_loss,64,2.877853765309662,2.8870186949352745,-650.7055076490454,0.7711538461538462,4.919841625145901,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_uspto_backgrounds_val_loss,64,2.784002569240357,2.7873719379553883,-392.8028844968618,0.8643315018315019,5.221869116644027,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,,,,,,,,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_arxiv_val_loss,64,3.4977314574180336,3.5020093829476706,-1113.1479387946945,0.8983516483516484,3.8091287743488365,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_freelaw_val_loss,64,3.269443526743159,3.2708310262801406,-556.3400328849434,0.7988095238095239,4.232665591900908,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_pubmed_central_val_loss,64,3.3482235264481695,3.3527304718835147,-4092.520711504557,0.9093406593406593,4.0802933855983525,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_wikipedia_en_val_loss,64,3.227235889633179,3.2286810522663685,-415.4206057349981,0.8310439560439561,6.150863085911128,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_dm_mathematics_val_loss,64,2.2283208335142906,2.2462172676815686,-56.09524867833556,0.41108058608058606,1.4821444987908778,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_github_val_loss,64,3.8968809656075516,3.899251711286256,-1054.2949034510762,0.864010989010989,4.161213728440742,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_stackexchange_val_loss,64,3.338343679379201,3.339902781690998,-667.3177562847512,0.8218406593406593,4.845824873513566,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_gutenberg_pg_19_val_loss,64,2.513284090110914,2.519806211315781,-107.42919693893056,0.6118131868131869,5.899399776357828,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_pile_cc_val_loss,64,2.5886674212629783,2.5901284222736427,-659.7309938795141,0.945054945054945,8.3207675376849,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_ubuntu_irc_val_loss,64,3.719951322499763,3.740039823675054,-77.24339068973197,0.5720238095238095,3.704708032920274,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_hackernews_val_loss,64,2.0517141928377765,2.06019147393136,-108.49733226470433,0.4376831501831502,6.217380153232305,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_pubmed_abstracts_val_loss,64,2.923113950430986,2.925342144691882,-668.1223476817828,0.610897435897436,4.98514958579836,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_uspto_backgrounds_val_loss,64,2.793949957960681,2.7958120592041014,-395.19135384466824,0.7110805860805861,5.237680859558291,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,,,,,,,,direct_only,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_only_linear,metric/the_pile_arxiv_val_loss,248,0.4620212356961612,0.5452581041167357,0.4734279308160564,0.746850271662594,0.5930761761950959,direct_only,q_huber_unicode_broad_sensitivity
